,Wallet,NumberOfTokensAdopted,EarlyCount,LaggardCount,EarlyPercentage,LaggardPercentage,Whale,Non-WhaleEarlyAdopters,Non-WhaleLaggardAdopters,NumberOfWhalesInteractedWith
0,0x0000000000000000000000008f51e37c83452fe5cd959a028f511f9d09551d9a,12,2,10,16.666666666666668,83.33333333333333,False,False,True,10.0
1,0x000000000000000000000000e859fb2d6f01172a9f6fb44ca223fea1cd11be1f,34,3,31,8.823529411764707,91.17647058823528,False,False,True,22.0
2,0x00000000000000000000000051d1fc8f1497716523ccf15c893851b058c85efc,124,25,99,20.161290322580644,79.83870967741936,False,False,True,60.0
3,0x0000000000000000000000007fcfc8983e7d2dbaecbc2edf4892d76f8ddd6db7,35,8,27,22.857142857142858,77.14285714285714,False,False,True,25.0
4,0x0000000000000000000000009357502209531f447cfc1608ec12b6e344bbc724,69,18,51,26.08695652173913,73.91304347826087,False,False,True,32.0
5,0x00000000000000000000000048fc9450d7faece1ba012e2edfdb7bc58f90c2c7,51,7,44,13.72549019607843,86.27450980392157,False,False,True,23.0
6,0x00000000000000000000000021833055db6aae8d905f22b8b2285051a53ee469,70,7,63,10.0,90.0,False,False,True,30.0
7,0x0000000000000000000000003b6147c59b200ace6d0e71b4f139daabd9d6b2c5,36,1,35,2.7777777777777777,97.22222222222224,False,False,True,20.0
8,0x0000000000000000000000006b7df741b77de898b6062293049ca7494d663580,48,7,41,14.583333333333334,85.41666666666667,False,False,True,25.0
9,0x0000000000000000000000001b38b8582d8f0f0347030a8e9d791851833a3689,40,14,26,35.0,65.0,False,False,True,27.0
10,0x000000000000000000000000dd83a188c962ffc450d09c1472d387525e47090a,54,11,43,20.37037037037037,79.62962962962963,False,False,True,32.0
11,0x000000000000000000000000fe6a424b716a9e8af4383a0b1a0eb90a6fd5d0d1,65,15,50,23.07692307692308,76.92307692307692,False,False,True,43.0
12,0x000000000000000000000000806f9f2d27d1cec4f0f42c7d60e9198519560094,33,5,28,15.151515151515152,84.84848484848484,False,False,True,18.0
13,0x00000000000000000000000023d979868d136d951d1656d651177109462e4aeb,64,10,54,15.625,84.375,False,False,True,34.0
14,0x000000000000000000000000a4cbdb34880b0e71d6071fba9a96a63ab66446a7,60,6,54,10.0,90.0,False,False,True,31.0
15,0x000000000000000000000000a15d205337cc4c10cf00350eb92a5fb362b359d2,47,4,43,8.51063829787234,91.48936170212764,False,False,True,30.0
16,0x00000000000000000000000060bab0f6ea43bd3d0ec59047f9076483da52f63d,17,3,14,17.647058823529413,82.3529411764706,False,False,True,15.0
17,0x0000000000000000000000001790f0d18680350d5ed8beee99f882d724675cb7,17,7,10,41.1764705882353,58.8235294117647,False,False,True,12.0
18,0x000000000000000000000000765c91997511d6baa28862a5dc5d5ad651b106ea,14,2,12,14.285714285714286,85.71428571428571,False,False,True,11.0
19,0x000000000000000000000000cb8029220c9fd7b4ea447a79ae48e9b3e4927f57,15,1,14,6.666666666666667,93.33333333333331,False,False,True,8.0
20,0x0000000000000000000000005eb5cc9e7cc9669906195edbcbce293cee92dfa1,29,3,26,10.344827586206897,89.65517241379311,False,False,True,27.0
21,0x00000000000000000000000032a7b49e700ff993cf68c4554fb711b433b5daf1,14,3,11,21.428571428571427,78.57142857142857,False,False,True,8.0
22,0x000000000000000000000000be958829cd45f66913a23253481e1fb9c66b05d3,20,2,18,10.0,90.0,False,False,True,0.0
23,0x00000000000000000000000051dbc9e360e00eb3cfa338d372f1ca21d152553c,38,5,33,13.157894736842104,86.84210526315789,False,False,True,29.0
24,0x000000000000000000000000b04e8b3e3c4c0f24ea108e0c7c340a8cda5efb44,13,4,9,30.76923076923077,69.23076923076923,False,False,True,10.0
25,0x0000000000000000000000009edf7acc2d2ea66d92847a873a95e69f2a4e3a59,33,13,20,39.39393939393939,60.60606060606061,False,False,True,23.0
26,0x000000000000000000000000ce3fde33a919e085a5b8a82c22d5ea1a68e07f12,51,10,41,19.607843137254903,80.3921568627451,False,False,True,30.0
27,0x000000000000000000000000e231007a0fbcc7c058e37bd48e49b4fefb6d3167,14,1,13,7.142857142857143,92.85714285714286,False,False,True,6.0
28,0x000000000000000000000000137a51e188057f09a289d17ae4ba4ac6b586c139,99,25,74,25.252525252525253,74.74747474747475,False,False,True,55.0
29,0x0000000000000000000000009cc83514e92f64e11252e333499e7747d3f3c68b,8,2,6,25.0,75.0,False,False,True,6.0
30,0x000000000000000000000000f235b02c47392cbc5ce4a831303f46d0c01a6356,88,12,76,13.636363636363637,86.36363636363636,False,False,True,25.0
31,0x000000000000000000000000f9bc5adb76ca4eda316f7f8c584b21900748ed9d,17,5,12,29.41176470588235,70.58823529411765,False,False,True,13.0
32,0x000000000000000000000000f5fc56a628883979935b2a009c4eb2155b23efc9,6,2,4,33.333333333333336,66.66666666666667,False,False,True,6.0
33,0x00000000000000000000000077f32933c4a70fe5b6e715cba21f7a10c0000c93,22,8,14,36.36363636363637,63.63636363636363,False,False,True,20.0
34,0x000000000000000000000000ee0dc44de39fecfc86a9aa7576a403e8977b7923,28,11,17,39.285714285714285,60.71428571428572,False,False,True,21.0
35,0x000000000000000000000000dd019c847b65868d1e5e3b90f62a7c9af4491671,50,18,32,36.0,64.0,False,False,True,28.0
36,0x000000000000000000000000b65baa5c570bbef6af080c29066994e69f549b1a,17,7,10,41.1764705882353,58.8235294117647,False,False,True,14.0
37,0x000000000000000000000000926cbe37d3487a881f9eb18f4746ee09557d79cb,12,3,9,25.0,75.0,False,False,True,11.0
38,0x00000000000000000000000013c85bc63023d9a376fe76dedfba52ce2e791549,42,7,35,16.666666666666668,83.33333333333333,False,False,True,21.0
39,0x0000000000000000000000002c6c79a89d45240f13bab68c3b16bffe845c89fd,40,11,29,27.5,72.5,False,False,True,16.0
40,0x000000000000000000000000cae5fb0f7b84676412028fa69ffe43567c4f324f,102,24,78,23.529411764705884,76.47058823529412,False,False,True,55.0
41,0x0000000000000000000000000fcb2e9a54c15c5b78ea930226064a548611fdaf,10,3,7,30.0,70.0,False,False,True,9.0
42,0x000000000000000000000000fe8e84335445d12676ffb7d7d4922511b11f46fc,40,5,35,12.5,87.5,False,False,True,32.0
43,0x000000000000000000000000b2802b449968ec87897eef9105b119f3b9ec6350,43,16,27,37.2093023255814,62.7906976744186,False,False,True,31.0
44,0x000000000000000000000000d0615037bbe05e45b75f26858d9cba76e4d969b2,82,30,52,36.58536585365854,63.41463414634146,True,False,False,235.0
45,0x000000000000000000000000bf1ae2e6c733a5cbfda810ad09a9731b3f330479,11,4,7,36.36363636363637,63.63636363636363,False,False,True,10.0
46,0x00000000000000000000000097717519ba6b027b60117836fb593dd55a0c823f,51,13,38,25.49019607843137,74.50980392156863,False,False,True,31.0
47,0x00000000000000000000000029c1fb6e677f87ee207e3160bd0d77788e83b63c,16,10,6,62.5,37.5,False,False,False,16.0
48,0x00000000000000000000000071f77f555946ef5d3c62cabd0b5adaab6d717218,10,1,9,10.0,90.0,False,False,True,9.0
49,0x000000000000000000000000259a299870abdc532cc44d724d03af06612dbea8,40,9,31,22.5,77.5,False,False,True,25.0
50,0x000000000000000000000000a2bcd1053380c0e160c2aee3772c60e2e417a38f,27,7,20,25.925925925925927,74.07407407407408,False,False,True,14.0
51,0x0000000000000000000000009a92df24c62220427e12d15f53cbf29278c2b60f,39,9,30,23.07692307692308,76.92307692307692,False,False,True,17.0
52,0x000000000000000000000000b1ff38730f851667c807d705ac210cc733725870,7,3,4,42.85714285714285,57.142857142857146,False,False,True,6.0
53,0x000000000000000000000000b19ef8070b50027c8fb2b1d4532378d9f0184de4,48,12,36,25.0,75.0,False,False,True,23.0
54,0x000000000000000000000000dccdbd01606b09fcd60977d61ccf3cafc884573d,3,1,2,33.333333333333336,66.66666666666667,False,False,True,3.0
55,0x000000000000000000000000377e329317a91231d1e537bb2e2b49964d4901bf,16,5,11,31.25,68.75,False,False,True,13.0
56,0x000000000000000000000000d774afe66646dcdc1fdecbb24a341049a8bda4a7,110,28,82,25.454545454545453,74.54545454545455,False,False,True,54.0
57,0x000000000000000000000000331b17d83f9b7c90ebe52f25e4cd14fb75449110,22,6,16,27.27272727272728,72.72727272727273,False,False,True,17.0
58,0x000000000000000000000000e67502f9a574daad2dee9385eac06fa9b5979288,2,1,1,50.0,50.0,False,False,True,2.0
59,0x0000000000000000000000009da71c359b8134e853de53b51490a87193973917,31,11,20,35.483870967741936,64.51612903225806,False,False,True,26.0
60,0x000000000000000000000000c8fe6f3f698534cbf7be796e6a6f575d24548667,241,23,218,9.54356846473029,90.45643153526972,False,False,True,44.0
61,0x0000000000000000000000005e862765adb389820eeb06026ae471979294ac79,33,7,26,21.21212121212121,78.78787878787878,False,False,True,20.0
62,0x0000000000000000000000009ce216927524f14eb48fe81a9162224aab63c6c6,44,12,32,27.27272727272728,72.72727272727273,False,False,True,29.0
63,0x0000000000000000000000000e4d9d48e069654c264ed288f096daa65b171394,14,5,9,35.714285714285715,64.28571428571429,False,False,True,9.0
